gsis_id,season,metric_raw,volume,success_rate,total_epa,team,position_group,metric_secondary,mean_season,sd_season,z_score,years_exp,age,prev_team,changed_team,years_since_change,transition_season,new_team,rel_time,post_transition,phase,team_pos_avg,team_quality,team_pass_epa_per_play,team_rush_epa_per_play,team_sack_rate,pre_trend_slope
00-0032058,2019,3.9708029197080297,137,0.3065693430656934,-15.346873681188693,SF,RB,NA,4.392510167865455,0.6620036592093129,-0.6370164912095888,4,26.376454483230663,ATL,1,1,2019,SF,0,1,Post,0.751934193562298,0.16143065204912951,0.16143065204912951,-0.06058036615328435,0.06936416184971098,0.7021229566917522
00-0032063,2021,3.6449275362318847,138,0.35507246376811585,-17.808107149001444,ATL,RB,NA,4.415029871373374,0.6938177840571782,-1.109948970518208,6,28.531143052703626,SEA,1,1,2021,ATL,0,1,Post,-0.8258050936223311,-0.06544657145316322,-0.06544657145316322,-0.16503304589485443,0.06504065040650392,NA
00-0032063,2021,4.4655172413793105,58,0.3275862068965517,NA,ATL,WR_TE,NA,7.489855865136989,1.6020349236130609,-1.887810670779201,6,28.531143052703626,ATL,0,1,2021,ATL,0,1,Post,-0.21637313415874154,-0.06544657145316322,-0.06544657145316322,-0.16503304589485443,0.06504065040650392,NA
00-0032104,2021,5.452830188679245,53,0.3962264150943396,NA,CAR,WR_TE,NA,7.489855865136989,1.6020349236130609,-1.2715238890445975,6,28.21902806297057,DET,1,1,2021,CAR,0,1,Post,-1.088507776517893,-0.21070599030220566,-0.21070599030220566,-0.04071711762294409,0.07951070336391433,NA
00-0032128,2018,6.423076923076923,52,0.4807692307692307,NA,KC,WR_TE,NA,7.810849650679093,1.5945394612278165,-0.870328242948322,3,25.8507871321013,KC,0,0,2019,JAX,-1,0,Pre,0.2659246391580476,0.3472234041506826,0.3472234041506826,0.05376438977583989,0.04262295081967216,0
00-0032128,2019,8.35483870967742,93,0.46236559139784944,NA,JAX,WR_TE,NA,7.735202054584536,1.6128011154285213,0.38419904919785863,4,26.850102669404517,KC,1,1,2019,JAX,0,1,Post,-0.38798834810412486,-0.04802621714111918,-0.04802621714111918,-0.07425225158092015,0.0657276995305164,0
00-0032144,2019,3.7777777777777772,162,0.40740740740740744,-16.334666307408064,LAC,RB,NA,4.392510167865455,0.6620036592093129,-0.9285936437600727,4,26.38466803559206,LAC,0,0,2021,DEN,-2,0,Pre,-0.5948196639855394,0.09556250086691068,0.09556250086691068,-0.11477255140013716,0.05379746835443042,0
00-0032144,2019,5.381818181818182,55,0.4545454545454545,NA,LAC,WR_TE,NA,7.735202054584536,1.6128011154285213,-1.4591903801734785,4,26.38466803559206,LAC,0,0,2021,DEN,-2,0,Pre,0.4418351278103866,0.09556250086691068,0.09556250086691068,-0.11477255140013716,0.05379746835443042,0
00-0032144,2021,4.522167487684729,203,0.4433497536945813,-18.874554949667072,DEN,RB,NA,4.415029871373374,0.6938177840571782,0.15441751245529522,6,28.386036960985628,LAC,1,1,2021,DEN,0,1,Post,0.10116748967289077,0.0661271904967282,0.0661271904967282,-0.0755751977723069,0.06849315068493156,0
00-0032156,2021,-0.052200525812111896,201,NA,NA,NO,QB,0.41293532338308453,0.01496538735763887,0.12547600703668577,-0.5352888951121411,6,29.683778234086244,DEN,1,1,2021,NO,0,1,Post,-0.5352888951121411,-0.06788990825688081,-0.06992872972447528,-0.1015791769209117,0.06788990825688081,NA
